Quantity, Name, CardNumber, Expansion Code, Expansion Name, PurchasePrice, Foil, Condition, Language, PurchaseDate, Single Current Price, Total Current Price
1,"Anorith",95,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Araquanid",48,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Arcanine",20,swsh12,Silver Tempest,0.11,false,NearMint,English,20221124,0.11,0.11
1,"Baltoy",93,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Beheeyem",80,swsh12,Silver Tempest,0.06,false,NearMint,English,20221124,0.06,0.06
1,"Beldum",117,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Candice",152,swsh12,Silver Tempest,0.11,false,NearMint,English,20221124,0.11,0.11
1,"Chimecho",74,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Chinchou",51,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Crobat",105,swsh12,Silver Tempest,0.2,false,NearMint,English,20221124,0.2,0.2
1,"Dragonite",131,swsh12,Silver Tempest,0.65,true,NearMint,English,20221124,0.65,0.65
1,"Drakloak",88,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Dratini",129,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Dreepy",87,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Duosion",77,swsh12,Silver Tempest,0.06,false,NearMint,English,20221125,0.06,0.06
1,"Duraludon VMAX",30,swsh12,Silver Tempest,0.0,true,NearMint,English,20221124,0.0,0.0
1,"Elgyem",79,swsh12,Silver Tempest,0.15,true,NearMint,English,20221124,0.15,0.15
1,"Emolga",54,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Espurr",81,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Feebas",39,swsh12,Silver Tempest,0.1,true,NearMint,English,20221124,0.1,0.1
1,"Ferroseed",121,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Fletchinder",28,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Froslass",43,swsh12,Silver Tempest,0.38,true,NearMint,English,20221125,0.38,0.38
1,"Furisode Girl",157,swsh12,Silver Tempest,0.22,true,NearMint,English,20221124,0.22,0.22
1,"Glalie",42,swsh12,Silver Tempest,0.06,false,NearMint,English,20221124,0.06,0.06
1,"Gym Trainer",191,swsh12,Silver Tempest,0.0,true,NearMint,English,20221124,0.0,0.0
1,"Hawlucha",98,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Hisuian Braviary",149,swsh12,Silver Tempest,0.09,false,NearMint,English,20221124,0.09,0.09
2,"Indeedee",86,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.08
1,"Klang",124,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Klink",123,swsh12,Silver Tempest,0.11,true,NearMint,English,20221124,0.11,0.11
1,"Klinklang",125,swsh12,Silver Tempest,0.32,true,NearMint,English,20221124,0.32,0.32
1,"Krokorok",112,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Lance",159,swsh12,Silver Tempest,0.08,false,NearMint,English,20221124,0.08,0.08
1,"Lanturn",52,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Litten",30,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Mareanie",114,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Mawile VSTAR",71,swsh12,Silver Tempest,0.0,true,NearMint,English,20221124,0.0,0.0
1,"Meowstic",82,swsh12,Silver Tempest,0.08,false,NearMint,English,20221124,0.08,0.08
1,"Misdreavus",63,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Petilil",9,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Phanpy",91,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Radiant Jirachi",120,swsh12,Silver Tempest,1.17,false,NearMint,English,20221124,1.18,1.18
1,"Raichu",50,swsh12,Silver Tempest,0.1,false,NearMint,English,20221124,0.1,0.1
1,"Rotom",53,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Smeargle",137,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Snorunt",41,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Solosis",76,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Stonjourner",101,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
2,"Stunfisk",55,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.1
1,"Sunkern",5,swsh12,Silver Tempest,0.04,false,NearMint,English,20221124,0.04,0.04
1,"Swablu",142,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Swirlix",83,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Talonflame",29,swsh12,Silver Tempest,0.07,false,NearMint,English,20221124,0.07,0.07
1,"Togedemaru",127,swsh12,Silver Tempest,0.03,false,NearMint,English,20221124,0.03,0.03
1,"Torracat",31,swsh12,Silver Tempest,0.06,false,NearMint,English,20221124,0.06,0.06
1,"Unidentified Fossil",165,swsh12,Silver Tempest,0.12,true,NearMint,English,20221124,0.12,0.12
1,"Venomoth",2,swsh12,Silver Tempest,0.06,false,NearMint,English,20221124,0.06,0.06
1,"Vulpix",17,swsh12,Silver Tempest,0.05,false,NearMint,English,20221124,0.05,0.05
1,"Wailord",38,swsh12,Silver Tempest,0.08,false,NearMint,English,20221124,0.08,0.08
1,"Wallace",166,swsh12,Silver Tempest,0.07,false,NearMint,English,20221124,0.07,0.07
1,"Zeraora",56,swsh12,Silver Tempest,0.11,false,NearMint,English,20221124,0.11,0.11
1,"Zygarde",134,swsh12,Silver Tempest,0.09,false,NearMint,English,20221124,0.09,0.09
